z1_cave_depth_pct,z1_cave_symmetry,z1_c2_vs_c1,z1_neckline_height,z1_pattern_length,z1_decline_magnitude,z1_decline_bars,z1_higher_low,z4_spring_depth,z4_spring_present,z2_c2_vs_fib382,z2_c2_vs_fib500,z2_c2_vs_fib618,z2_fib_alignment,z3_rvol_c2,z3_volume_trend,z3_c2_vol_vs_c1,z3_vol_declining,z3_obv_slope,z3_rsi_c2,z3_rsi_c1,z3_rsi_divergence,z3_rsi_oversold,z3_macd_c2,z3_macd_rising,z4_atr_c2,z4_atr_pct,z4_atr_compression,z4_nr4,z4_nr7,z4_bb_width,z5_rs_rank_c2,z5_rs_rank_c1,z5_rs_improving,z5_price_vs_sma50,z5_price_vs_sma200,z5_sma50_slope,z6_c2_body_ratio,z6_c2_lower_wick,z6_c2_is_bullish,z6_pattern_bars,z6_pattern_too_short,z6_pattern_too_long,ticker,c1_date,c1_idx,c2_idx,label,outcome,bars_to_breakout,max_gain,max_loss
0.013737,0.922269,-0.077731,0.013928,58.0,0.124858,60.0,1.0,0.078135,1.0,6.198767,6.080767,5.962767,5.962767,0.885855,-0.218831,0.734446,1.0,-0.027472,24.253925,31.500207,-7.246282,1.0,-0.299817,0.0,0.401176,0.020735,1.085119,0.0,0.0,0.091924,50.0,50.0,0.0,-0.048014,-0.099731,-0.007232,0.088237,0.411763,1.0,58.0,0.0,0.0,AES,2021-07-13,2900,2958,0,cave1_violated,-1,0.0236,0.0
0.181537,0.913172,-0.086828,0.221803,61.0,0.133351,60.0,1.0,0.086827,1.0,1.009463,0.891463,0.773463,0.773463,1.279291,0.162986,1.035542,0.0,-0.056562,23.462925,35.937763,-12.474838,1.0,-0.843301,0.0,0.81466,0.048431,1.316356,0.0,0.0,0.294454,50.0,50.0,0.0,-0.148677,-0.160902,-0.002854,0.424243,0.313133,0.0,61.0,0.0,0.0,AES,2022-02-14,3050,3111,0,cave1_violated,-1,0.0406,0.0
0.077037,0.904403,-0.095597,0.083467,35.0,0.195269,60.0,1.0,0.097032,1.0,1.763333,1.645333,1.527333,1.527333,2.196494,0.420942,1.698015,0.0,-0.028338,27.114484,16.323639,10.790845,1.0,-0.45584,0.0,0.722642,0.044117,1.121963,1.0,0.0,0.230935,50.0,50.0,0.0,-0.128319,-0.17164,-0.035409,0.105262,0.421052,0.0,35.0,0.0,0.0,AES,2022-04-27,3100,3135,0,cave1_violated,-1,0.0164,0.0
0.091187,0.936772,-0.063228,0.100336,29.0,0.166778,60.0,1.0,0.063231,1.0,1.248162,1.130162,1.012162,1.012162,0.916213,-0.108476,0.447482,1.0,-0.29227,30.128791,28.701193,1.427598,1.0,-0.42284,0.0,0.41835,0.030236,0.984683,0.0,0.0,0.165794,50.0,50.0,0.0,-0.100472,-0.084945,-0.027162,0.337078,0.35955,0.0,29.0,0.0,0.0,AFL,2012-04-23,580,609,0,cave1_violated,-1,0.0114,0.0
0.104089,0.971397,0.028603,0.116183,72.0,0.12082,60.0,1.0,-0.0,0.0,0.371811,0.253811,0.135811,0.135811,1.147582,-0.097901,0.569121,1.0,-0.253443,32.897413,32.380851,0.516562,1.0,-0.209061,0.0,0.395912,0.018084,0.990816,0.0,0.0,0.066985,50.0,50.0,0.0,-0.039038,-0.047851,-0.002141,0.017238,0.146553,0.0,72.0,0.0,0.0,AFL,2014-10-16,1205,1277,1,breakout,9,0.0896,0.0
0.160806,0.933329,0.066671,0.19162,61.0,0.181052,60.0,1.0,-1e-06,0.0,0.270067,0.152067,0.034067,0.034067,0.762508,-0.269916,1.074632,0.0,-0.038037,40.734256,38.361954,2.372302,0.0,-0.464934,0.0,1.244602,0.023422,1.041596,1.0,0.0,0.093641,50.0,50.0,0.0,-0.044188,-0.034357,0.006765,0.564814,0.018519,0.0,61.0,0.0,0.0,AFL,2022-07-18,3155,3216,1,breakout,12,0.1285,0.0
0.17232,0.91435,-0.08565,0.208197,39.0,0.273418,60.0,1.0,0.085651,1.0,1.029389,0.911389,0.793389,0.793389,0.33895,-0.127302,0.342893,1.0,-0.933792,21.368761,36.03549,-14.666729,1.0,-0.626625,0.0,0.660955,0.04346,0.768427,0.0,0.0,0.281576,50.0,50.0,0.0,-0.128747,-0.300935,-0.019186,0.186442,0.0,1.0,39.0,0.0,0.0,AIG,2011-09-30,440,479,0,cave1_violated,-1,0.0399,0.0
0.093022,0.910569,0.089431,0.102562,43.0,0.140553,60.0,1.0,0.040651,1.0,0.253972,0.371972,0.489972,0.253972,0.723784,-0.200378,0.936317,1.0,-0.025755,38.964561,32.106164,6.858396,0.0,0.24996,0.0,0.547815,0.02075,0.848376,0.0,0.0,0.060857,50.0,50.0,0.0,0.028603,0.06089,0.001638,0.059998,0.420006,1.0,43.0,0.0,0.0,AIG,2012-11-12,720,763,1,breakout,1,0.0201,0.0
0.126744,0.991548,-0.008452,0.14514,72.0,0.123024,60.0,1.0,0.008452,0.0,0.676235,0.558235,0.440235,0.440235,1.126676,-0.068375,0.893029,1.0,-0.098328,23.180372,23.764048,-0.583676,1.0,-1.02713,0.0,0.833799,0.022218,1.076728,0.0,0.0,0.157139,50.0,50.0,0.0,-0.091434,-0.087934,-0.011686,0.034486,0.13793,0.0,72.0,0.0,0.0,AIG,2014-10-16,1205,1277,0,timeout,-1,0.1481,0.0
0.105583,0.903594,-0.096406,0.118047,12.0,0.126269,60.0,1.0,0.096406,1.0,1.434678,1.316678,1.198678,1.198678,1.509917,0.181415,1.595026,0.0,-0.09737,18.223139,39.325914,-21.102775,1.0,-1.406936,0.0,1.230184,0.031283,1.024447,0.0,0.0,0.128565,50.0,50.0,0.0,-0.133756,-0.154676,-0.026739,0.486237,0.12844,0.0,12.0,0.0,0.0,AIG,2016-01-26,1525,1537,0,cave1_violated,-1,0.0491,0.0
